Year,Class_ID,Class_Name,Object_Count,Total_Images,Images_With_Objects
2010,0,MILCO,22,345,28
2010,1,NOMBO,12,345,28
2015,0,MILCO,242,120,118
2015,1,NOMBO,171,120,118
2017,0,MILCO,28,93,19
2017,1,NOMBO,2,93,19
2018,0,MILCO,96,564,112
2018,1,NOMBO,46,564,112
2021,0,MILCO,49,48,27
